scenario,var,id,val,pos
-0.05,SRGF,MVNI000011,0.76,ld3
-0.05,SSKS,MVNI000012,1.2065,ld3
-0.05,SBDM,MVNI000013,1.064,ld3
-0.05,SLOC,MVNI000014,0.665,ld3
-0.05,SLCL,MVNI000015,52.25,ld3
-0.05,SLSI,MVNI000016,10.45,ld3
-0.05,SLNI,MVNI000017,0.0665,ld3
-0.05,SLHW,MVNI000018,4.56,ld3
-0.05,SCEC,MVNI000019,1.71,ld3
-0.05,SLB,MVNI000007,96.9,ld4
-0.05,SLLL,MVNI000008,0.2033,ld4
-0.05,SDUL,MVNI000009,0.3401,ld4
-0.05,SSAT,MVNI000010,0.5643,ld4
-0.05,SRGF,MVNI000011,0.475,ld4
-0.05,SSKS,MVNI000012,1.4915,ld4
-0.05,SBDM,MVNI000013,0.969,ld4
-0.05,SLOC,MVNI000014,0.475,ld4
-0.05,SLCL,MVNI000015,57,ld4
-0.05,SLSI,MVNI000016,7.6,ld4
-0.05,SLNI,MVNI000017,0.0475,ld4
-0.05,SLHW,MVNI000018,4.75,ld4
-0.05,SCEC,MVNI000019,1.71,ld4
-0.05,SLB,MVNI000007,139.65,ld5
-0.05,SLLL,MVNI000008,0.19855,ld5
-0.05,SDUL,MVNI000009,0.32965,ld5
-0.05,SSAT,MVNI000010,0.43225,ld5
-0.05,SRGF,MVNI000011,0.19,ld5
-0.05,SSKS,MVNI000012,0.361,ld5
-0.05,SBDM,MVNI000013,1.33,ld5
-0.05,SLOC,MVNI000014,0.285,ld5
-0.05,SLCL,MVNI000015,56.05,ld5
-0.05,SLSI,MVNI000016,7.6,ld5
-0.05,SLNI,MVNI000017,0.0285,ld5
-0.05,SLHW,MVNI000018,5.415,ld5
-0.05,SCEC,MVNI000019,1.71,ld5
-0.05,SLB,MVNI000007,166.25,ld6
-0.05,SLLL,MVNI000008,0.19855,ld6
-0.05,SDUL,MVNI000009,0.32965,ld6
-0.05,SSAT,MVNI000010,0.43035,ld6
-0.05,SRGF,MVNI000011,0.0475,ld6
-0.05,SSKS,MVNI000012,0.3515,ld6
-0.05,SBDM,MVNI000013,1.33,ld6
-0.05,SLOC,MVNI000014,0.285,ld6
-0.05,SLCL,MVNI000015,55.1,ld6
-0.05,SLSI,MVNI000016,8.55,ld6
-0.05,SLNI,MVNI000017,0.0285,ld6
-0.05,SLHW,MVNI000018,5.415,ld6
-0.05,SCEC,MVNI000019,1.045,ld6
-0.1,SALB,MVNI000020,0.117,pd
-0.1,SLU1,MVNI000021,7.2,pd
-0.1,SLDR,MVNI000022,0.54,pd
-0.1,SLRO,MVNI000023,67.5,pd
-0.1,SLNF,MVNI000024,0.9,pd
-0.1,SLPF,MVNI000025,0.9,pd
-0.1,SLB,MVNI000026,8.1,ld1
-0.1,SLLL,MVNI000027,0.1764,ld1
-0.1,SDUL,MVNI000028,0.3204,ld1
